"","X","Column1","study","year","active_type","control_type","psy_or_med","descr_active","descr_control","instrument","instrument_name","instrument_value","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","responders_active","responders_control","resp_rate_active","resp_rate_control","resp_rate_active_completers","resp_rate_control_completers","responders_active_30","responders_control_30","responders_active_35","responders_control_35","...49","percent_women","cuij_responders_active","cuij_responders_control","time_weeks","comorbid_mental","comorbid_mental.","country","age_group","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall","active_percent_women","control_percent_women","diagnosis","no_sites","Notes","comorbid_mental?","cohens_d_active","cohens_d_control","study_ID","cip_change_actv","cip_change_sd_actv","cip_change_n_actv","ae_dropouts_actv","ae_dropouts_n_actv","cip_responders_actv","cip_responders_n_actv","cip_responders_n_missing_actv","all_cause_dropouts_actv","all_cause_dropouts_n_actv","suicides_actv","suicide_n_actv","cip_change_ctrl","cip_change_sd_ctrl","cip_change_n_ctrl","ae_dropouts_ctrl","ae_dropouts_n_ctrl","cip_responders_ctrl","cip_responders_n_ctrl","cip_responders_n_missing_ctrl","all_cause_dropouts_ctrl","all_cause_dropouts_n_ctrl","suicides_ctrl","suicide_n_ctrl","change_active","change_control","scale_min","scale_max","perc_baseline_mean_active","perc_baseline_sd_active","perc_baseline_mean_control","perc_baseline_sd_control","perc_post_mean_active","perc_post_sd_active","perc_post_mean_control","perc_post_sd_control","baseline_st_error_active","baseline_st_error_control","new_study_id"
"81",NA,71,"Mufson, 2004","2004","ipt","cau",1,"ipt","cau","ham-d","hamd",2,"clinician",18.9,5.9,34,18.3,5,29,8.7,8,34,12.8,8.4,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,7,0.558823529411765,0.241379310344828,0.558823529411765,0.241379310344828,NA,NA,NA,NA,66,84,18,10,NA,"n",NA,"us",NA,15.3,2.1,14.9,1.7,NA,NA,NA,NA,"mood",NA,NA,NA,-1.46762589928058,-0.82089552238806,"Mufson, 2004_ipt_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.2,-5.5,0,52,0.363461538461538,0.113461538461538,0.351923076923077,0.0961538461538462,0.167307692307692,0.153846153846154,0.246153846153846,0.161538461538462,1.0118416523408,0.928476690885259,"Mufson, 2004"
"82",1,1,"Organon","2002a","Mirtazapine","Placebo",0,"Mirtazapine","Placebo","CDRS","cdrs",1,"clinician",50.93,9.32875,82,51.93,9.29964285714286,44,35.08,10.8323214285714,82,37.24,10.8732142857143,44,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"n",NA,NA,"7 to 17",12.3,NA,12.4,NA,NA,NA,47.6,56.8,"mdd","17",NA,NA,-1.5723370710882,-1.45641243537993,"Organon_2002a_Mirtazapine_Placebo",-15.85,12.54,82,5,82,NA,NA,NA,13,82,NA,82,-14.69,12.56,44,1,44,NA,NA,NA,9,44,NA,44,NA,NA,17,113,0.3534375,0.0971744791666667,0.363854166666667,0.0968712797619048,0.188333333333333,0.112836681547619,0.210833333333333,0.113262648809524,1.03018809887072,1.40197391097507,"Organon, 2002a"
"83",2,2,"Organon","2002b","Mirtazapine","Placebo",0,"Mirtazapine","Placebo","CDRS","cdrs",1,"clinician",48.87,9.32875,88,47.57,9.29964285714286,45,35.39,10.8323214285714,82,38.76,10.8732142857143,41,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"n",NA,NA,"7 to 17",11.9,NA,12.3,NA,NA,NA,50,50.5,"mdd","15",NA,NA,-1.33723051850277,-0.873450888747256,"Organon_2002b_Mirtazapine_Placebo",-13.48,12.24,83,4,88,NA,NA,NA,19,88,NA,88,-8.81,12.22,41,2,45,NA,NA,NA,9,45,NA,45,NA,NA,17,113,0.331979166666667,0.0971744791666667,0.3184375,0.0968712797619048,0.1915625,0.112836681547619,0.226666666666667,0.113262648809524,0.9944480913512,1.38630890633612,"Organon, 2002b"
"84",59,59,"Paxil (GlaxoSmithKline)","2009","Paroxetine","Placebo",0,"Paroxetine","Placebo","CDRS","cdrs",1,"clinician",NA,9.32875,29,NA,9.29964285714286,27,NA,10.8323214285714,29,NA,10.8732142857143,27,-16.5,13.19,29,-11.9,13.2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"n",NA,"Japan","7 to 17",14.4,1.99,14.8,2.62,NA,NA,55.2,66.7,"mdd","33",NA,NA,NA,NA,"Paxil (GlaxoSmithKline)_2009_Paroxetine_Placebo",-16.5,13.19,29,1,29,15,29,0,4,29,0,29,-11.9,13.2,27,2,27,11,27,0,3,27,3,27,NA,NA,17,113,NA,0.0971744791666667,NA,0.0968712797619048,NA,0.112836681547619,NA,0.113262648809524,1.73230538601917,1.78971710231294,"Paxil (GlaxoSmithKline), 2009"
"85",NA,73,"Poole, 2017","2017","other psy","cau",1,"Behaviour Exchange Systems Therapy for adolescent depression (BEST MOOD)","supportive parenting program","smfq","smfq",7,"self-report",18.8,1.38,27,17.5,1.35,26,13.23,1.47,25,13.33,1.44,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,68,73.4,NA,NA,NA,"n",NA,"au",NA,15,1.3,15.3,1.4,15.2,1.4,NA,NA,"mood",NA,NA,NA,-3.90877192982456,-2.98924731182796,"Poole, 2017_Behaviour Exchange Systems Therapy for adolescent depression (BEST MOOD)_supportive parenting program",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.57,-4.17,0,26,0.723076923076923,0.0530769230769231,0.673076923076923,0.0519230769230769,0.508846153846154,0.0565384615384615,0.512692307692308,0.0553846153846154,0.265581123827228,0.264756782436548,"Poole, 2017"
"86",61,61,"Puig-Antich","1987","Imipramine","Placebo",0,"Imipramine","Placebo","K-SADS-L","ksads",6,"clinician",3.1,0.43,20,3,0.66,22,1.9,0.68,16,1.9,0.86,22,NA,NA,NA,NA,NA,NA,"Responder: if K-SADS scores in both depressed mood and anhedonia were ≤2. Non-responder: if K-SADS score for at least one of these two key items were ≥3.",9,16,0.5625,15,22,0.681818181818182,6,7,0.3,0.318181818181818,0.375,0.318181818181818,11,13,8,11,NA,NA,NA,NA,5,"n",NA,"USA","missing",9.03,1.58,9.18,1.28,NA,NA,62.5,59,"mdd","33",NA,NA,-2.16216216216216,-1.44736842105263,"Puig-Antich_1987_Imipramine_Placebo",-1.2,0.6,16,0,20,9,16,4,4,20,NA,NA,-1.1,0.78,22,0,22,15,22,0,0,22,NA,NA,NA,NA,1,4,0.7,0.143333333333333,0.666666666666667,0.22,0.3,0.226666666666667,0.3,0.286666666666667,0.096150923032491,0.140712472794703,"Puig-Antich, 1987"
"87",NA,74,"Reed, 1994","1994","other psy","other ctr",1,"Structured Learning Therapy (SLT)","art and imagery exercises","bdi","bdi",4,"self-report",NA,NA,12,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,50,NA,NA,NA,"n",NA,"us",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mood",NA,NA,NA,NA,NA,"Reed, 1994_Structured Learning Therapy (SLT)_art and imagery exercises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reed, 1994"
"88",NA,79,"Reynolds, 1986","1986","cbt","other ctr",1,"cbt","Relaxation training","bdi","bdi",4,"self-report",21.11,7.75,9,17.09,6.36,11,6.36,3.15,6,5.77,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.666666666666667,0.545454545454545,1,0.75,NA,NA,NA,NA,74,63,NA,NA,NA,"n",NA,"us",NA,NA,NA,NA,NA,15.65,NA,NA,NA,"cut",NA,NA,NA,-2.70642201834862,-2.18532818532819,"Reynolds, 1986_cbt_Relaxation training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.75,-11.32,0,63,0.335079365079365,0.123015873015873,0.271269841269841,0.100952380952381,0.100952380952381,0.05,0.0915873015873016,0.0634920634920635,2.58333333333333,1.91761215151458,"Reynolds, 1986"
"89",NA,76,"Reynolds, 1986","1986","cbt","wl",1,"cbt","wlc","bdi","bdi",4,"self-report",21.11,7.75,9,16.9,5.48,10,6.36,3.15,6,18.31,9.82,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0.555555555555556,0.3,0.833333333333333,0.3,NA,NA,NA,NA,71,63,5,2,NA,"n",NA,"us",NA,NA,NA,NA,NA,15.65,NA,NA,NA,"cut",NA,NA,NA,-2.70642201834862,0.184313725490196,"Reynolds, 1986_cbt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.75,1.41,0,63,0.335079365079365,0.123015873015873,0.268253968253968,0.086984126984127,0.100952380952381,0.05,0.290634920634921,0.155873015873016,2.58333333333333,1.73292815777227,"Reynolds, 1986"
"90",NA,83,"Rohde, 2004","2004","cbt","other ctr",1,"cbt","life skills/tutoring","ham-d","hamd",2,"clinician",14.2,5.2,45,6,6.3,48,6,6.3,44,8.3,5.4,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4,0.533333333333333,0.0833333333333333,0.545454545454545,0.0851063829787234,NA,NA,NA,NA,78,48,25,8,NA,"y",NA,"us",NA,15.1,1.5,15.1,1.3,15.1,1.4,NA,NA,"mdd",NA,NA,"conduct disorder",-1.42608695652174,0.393162393162393,"Rohde, 2004_cbt_life skills/tutoring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.2,2.3,0,52,0.273076923076923,0.1,0.115384615384615,0.121153846153846,0.115384615384615,0.121153846153846,0.159615384615385,0.103846153846154,0.775170232199927,0.909326673973661,"Rohde, 2004"
"91",NA,84,"Rohde, 2014a","2014","cbt","other ctr",1,"cognitive behavioral intervention (CB)","educational brochure control","K-SADS (adapted)","ksads",6,"clinician",1.37,0.35,126,1.38,0.36,124,1.4,0.32,126,1.5,0.41,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.00806451612903226,0,0.00806451612903226,NA,NA,NA,NA,79,68,NA,NA,NA,"n",NA,"us",NA,NA,NA,NA,NA,15.5,1.2,NA,NA,"cut",NA,NA,NA,0.0895522388059696,0.311688311688312,"Rohde, 2014a_cognitive behavioral intervention (CB)_educational brochure control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999999998,0.12,1,4,0.123333333333333,0.116666666666667,0.126666666666667,0.12,0.133333333333333,0.106666666666667,0.166666666666667,0.136666666666667,0.0311804782231162,0.0323289543648195,"Rohde, 2014a"
"92",NA,85,"Rossello, 1999","1999","cbt","wl",1,"cbt","wlc","cdi","cdi",5,"self-report",20.12,6.95,25,20.13,5.99,23,13.28,7.61,21,15.83,6.83,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,0.28,0.173913043478261,0.333333333333333,0.222222222222222,NA,NA,NA,NA,80,54,7,4,NA,"n",NA,"us",NA,NA,NA,NA,NA,14.7,1.4,NA,NA,"mood",NA,NA,NA,-0.93956043956044,-0.670826833073323,"Rossello, 1999_cbt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.84,-4.3,0,54,0.372592592592593,0.128703703703704,0.372777777777778,0.110925925925926,0.245925925925926,0.140925925925926,0.293148148148148,0.126481481481481,1.39,1.24900134020188,"Rossello, 1999"
"93",NA,86,"Rossello, 1999","1999","ipt","wl",1,"ipt","wlc","cdi","cdi",5,"self-report",21.21,7.53,23,20.13,5.99,23,10.79,6.51,19,15.83,6.83,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,0.347826086956522,0.130434782608696,0.421052631578947,0.166666666666667,NA,NA,NA,NA,81,54,9,4,NA,"n",NA,"us",NA,NA,NA,NA,NA,14.7,1.4,NA,NA,"mood",NA,NA,NA,-1.48433048433048,-0.670826833073323,"Rossello, 1999_ipt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.42,-4.3,0,54,0.392777777777778,0.139444444444444,0.372777777777778,0.110925925925926,0.199814814814815,0.120555555555556,0.293148148148148,0.126481481481481,1.57011353784977,1.24900134020188,"Rossello, 1999"
"94",NA,87,"Sanford, 2006","2006","other psy","cau",1,"Family Psychoeducation (FPE) + cau","cau","rads","rads",8,"self-report",NA,NA,16,NA,NA,15,NA,NA,16,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,65,NA,NA,NA,"n",NA,"can",NA,15.6,1.1,16.1,1.6,NA,NA,NA,NA,"MDD",NA,NA,NA,NA,NA,"Sanford, 2006_Family Psychoeducation (FPE) + cau_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanford, 2006"
"95",NA,88,"Santomauro, 2016","2016","cbt","wl",1,"cbt","wlc","dass","dass",99,"self-report",24.2,8.97,11,21.6,11.03,12,17.2,8.95,10,23.93,11.58,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0.181818181818182,0.166666666666667,0.2,0.2,NA,NA,NA,NA,83,40,3,1,NA,"y",NA,"au",NA,16,1.33,15.5,1.43,NA,NA,NA,NA,"cut",NA,NA,"ASD",-0.78125,0.20610349402919,"Santomauro, 2016_cbt_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,2.33,0,42,0.576190476190476,0.213571428571429,0.514285714285714,0.262619047619048,0.40952380952381,0.213095238095238,0.569761904761905,0.275714285714286,2.70455676086254,3.18408673458079,"Santomauro, 2016"
"96",NA,91,"Shirk, 2014","2014","cbt","cau",1,"m-cbt (modified for interpersonal trauma)","cau","bdi-ii","bdi",4,"self-report",29.85,10.56,20,32.21,12.99,23,21.35,11.62,15,19.38,13.47,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,0.1,0.521739130434783,0.133333333333333,0.6,NA,NA,NA,NA,84,83.7,NA,NA,NA,"y",NA,"us",NA,15.25,1.52,15.69,1.55,15.48,1.53,NA,NA,"mood",NA,NA,"at least one incident of interpersonal trauma (physical, sexual or verbal/emotional abuse)",-0.766456266907124,-0.969765684051398,"Shirk, 2014_m-cbt (modified for interpersonal trauma)_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.5,-12.83,0,63,0.473809523809524,0.167619047619048,0.511269841269841,0.206190476190476,0.338888888888889,0.184444444444444,0.307619047619048,0.213809523809524,2.36128778423978,2.7086022386014,"Shirk, 2014"
"97",NA,92,"Shomaker, 2016","2016","cbt","other ctr",1,"cbt","psychoeducation","ces-d","ces_d",11,"self-report",25.3,7.3,61,24.5,7.5,58,13.4,7.3,61,13.8,7.5,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,100,NA,NA,NA,"n",NA,"us",NA,15,1.6,15.1,1.6,NA,NA,NA,NA,"sub",NA,NA,NA,-1.63013698630137,-1.42666666666667,"Shomaker, 2016_cbt_psychoeducation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.9,-10.7,0,60,0.421666666666667,0.121666666666667,0.408333333333333,0.125,0.223333333333333,0.121666666666667,0.23,0.125,0.934669223510141,0.984798246447919,"Shomaker, 2016"
"98",NA,94,"Srivastava, 2020","2020","cbt","cau",1,"cCBT","cau","cdrs-r","cdrs",1,"self-report",67.8,3.1,11,66.9,3.4,10,33.7,11.2,10,45.3,9.7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0.272727272727273,0,0.3,0,NA,NA,NA,NA,87,24,NA,NA,NA,"n",NA,"oth",NA,16,1.5,16.1,1.3,16.05,1.5,NA,NA,"mdd",NA,NA,NA,-4.76923076923077,-3.29770992366412,"Srivastava, 2020_cCBT_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.1,-21.6,17,113,0.529166666666667,0.0322916666666667,0.519791666666667,0.0354166666666667,0.173958333333333,0.116666666666667,0.294791666666667,0.101041666666667,0.934685168191067,1.07517440445725,"Srivastava, 2020"
"99",NA,95,"Stallard, 2012","2012","cbt","other ctr",1,"cbt","attention control","smfq","smfq",7,"self-report",10.64,4.91,392,10.6,4.67,374,8.22,6.45,296,8.5,5.88,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,82,0.227040816326531,0.219251336898396,0.300675675675676,0.266233766233766,NA,NA,NA,NA,88,65,NA,NA,NA,"n",NA,"uk",NA,14.3,NA,NA,NA,NA,NA,NA,NA,"cut",NA,NA,NA,-0.426056338028169,-0.398104265402843,"Stallard, 2012_cbt_attention control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.42,-2.1,0,26,0.409230769230769,0.188846153846154,0.407692307692308,0.179615384615385,0.316153846153846,0.248076923076923,0.326923076923077,0.226153846153846,0.247992449687568,0.241479951227674,"Stallard, 2012"
"100",NA,96,"Stallard, 2012","2012","cbt","cau",1,"cbt","cau","smfq","smfq",7,"self-report",10.64,4.91,392,10.56,4.93,298,8.22,6.45,296,6.81,5.7,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,95,0.260204081632653,0.318791946308725,0.344594594594595,0.392561983471074,NA,NA,NA,NA,89,65,97,90,NA,"n",NA,"uk",NA,14.3,NA,NA,NA,NA,NA,NA,NA,"cut",NA,NA,NA,-0.426056338028169,-0.705550329256821,"Stallard, 2012_cbt_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.42,-3.75,0,26,0.409230769230769,0.188846153846154,0.406153846153846,0.189615384615385,0.316153846153846,0.248076923076923,0.261923076923077,0.219230769230769,0.247992449687568,0.285587232057202,"Stallard, 2012"
"101",NA,99,"Stark, 1987","1987","pst","wl",1,"pst","wlc","cdrs-r","cdrs",1,"clinician",33.5,10.27,10,30.33,6.28,9,24.16,6.01,10,28.15,6.21,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,92,43,1,0.2,NA,"n",NA,"us",NA,11.1,NA,11.32,NA,11.17,NA,NA,NA,"cut",NA,NA,NA,-1.14742014742015,-0.349079263410729,"Stark, 1987_pst_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.34,-2.18,17,113,0.171875,0.106979166666667,0.138854166666667,0.0654166666666667,0.0745833333333333,0.0626041666666667,0.116145833333333,0.0646875,3.24765915699293,2.09333333333333,"Stark, 1987"
"102",NA,103,"Stark, 1987","1987","other psy","wl",1,"self control","wlc","cdrs-r","cdrs",1,"clinician",37.22,8.36,9,30.33,6.28,9,22.91,4.36,9,28.15,6.21,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,96,43,1,0.2,NA,"n",NA,"us",NA,11.2,NA,11.32,NA,11.17,NA,NA,NA,"cut",NA,NA,NA,-2.25,-0.349079263410729,"Stark, 1987_self control_wlc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.31,-2.18,17,113,0.210625,0.0870833333333333,0.138854166666667,0.0654166666666667,0.0615625,0.0454166666666667,0.116145833333333,0.0646875,2.78666666666667,2.09333333333333,"Stark, 1987"
"103",NA,107,"Stice, 2008","2008","cbt","cau",1,"cbt based bibliotherapy","assessment only","bdi","bdi",4,"self-report",18.2,7.53,80,19.6,9.23,84,14.25,8.98,80,16.71,9.74,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,21,0.2375,0.25,0.2375,0.25,NA,NA,NA,NA,100,56,NA,NA,NA,"n",NA,"us",NA,NA,NA,NA,NA,15.6,1.2,NA,NA,"sub",NA,NA,NA,-0.478497880072683,-0.304691618344755,"Stice, 2008_cbt based bibliotherapy_assessment only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.95,-2.89,0,63,0.288888888888889,0.11952380952381,0.311111111111111,0.146507936507937,0.226190476190476,0.142539682539683,0.265238095238095,0.154603174603175,0.841879593528671,1.0070755634391,"Stice, 2008"
"104",NA,105,"Stice, 2008","2008","cbt","cau",1,"cbt","assessment only","bdi","bdi",4,"self-report",20.03,10.35,89,19.6,9.23,84,10.77,9.04,89,16.71,9.74,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,22,0.460674157303371,0.261904761904762,0.460674157303371,0.261904761904762,NA,NA,NA,NA,98,56,42,20,NA,"n",NA,"us",NA,NA,NA,NA,NA,15.6,1.2,NA,NA,"sub",NA,NA,NA,-0.95513151108819,-0.304691618344755,"Stice, 2008_cbt_assessment only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.26,-2.89,0,63,0.317936507936508,0.164285714285714,0.311111111111111,0.146507936507937,0.170952380952381,0.143492063492063,0.265238095238095,0.154603174603175,1.09709780580658,1.0070755634391,"Stice, 2008"
"105",NA,109,"Stice, 2008","2008","sup","cau",1,"sup","assessment only","bdi","bdi",4,"self-report",20.27,9.83,88,19.6,9.23,84,14.67,10.62,88,16.71,9.74,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,0.306818181818182,0.321428571428571,0.306818181818182,0.321428571428571,NA,NA,NA,NA,102,56,30,20,NA,"n",NA,"us",NA,NA,NA,NA,NA,15.6,1.2,NA,NA,"sub",NA,NA,NA,-0.547677261613692,-0.304691618344755,"Stice, 2008_sup_assessment only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.6,-2.89,0,63,0.321746031746032,0.156031746031746,0.311111111111111,0.146507936507937,0.232857142857143,0.168571428571429,0.265238095238095,0.154603174603175,1.04788152088783,1.0070755634391,"Stice, 2008"
"106",NA,111,"Stikkelbroek, 2020","2020","cbt","cau",1,"cbt","cau","K-SADS","ksads",6,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,82,NA,NA,NA,"n",NA,"eu",NA,16.9,2.2,16.3,2,16.6,2.1,NA,NA,"mdd",NA,NA,NA,NA,NA,"Stikkelbroek, 2020_cbt_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stikkelbroek, 2020"
"107",NA,112,"Szigethy, 2007","2007","cbt","cau",1,"cbt","cau","cdi","cdi",5,"self-report",25.7,10.8,22,21.8,8.1,19,10.7,8,21,16.7,11.1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,0.5,0.315789473684211,0.523809523809524,0.315789473684211,NA,NA,NA,NA,105,51,13,6,NA,"n",NA,"us",NA,14.95,2.33,15.02,1.83,NA,NA,NA,NA,"sub",NA,NA,NA,-1.59574468085106,-0.53125,"Szigethy, 2007_cbt_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,-5.1,0,54,0.475925925925926,0.2,0.403703703703704,0.15,0.198148148148148,0.148148148148148,0.309259259259259,0.205555555555556,2.30256773664059,1.85826744435155,"Szigethy, 2007"
"108",NA,114,"Tang, 2009","2009","ipt","cau",1,"Intensive Interpersonal Psychotherapy for depressed adolescents with suicidal risk (IPT-A-IN)","school-based supportive intervention and psychoeducation","bdi-ii","bdi",4,"self-report",32.66,10.06,35,32.32,8.7,38,19.97,14.68,35,31.58,12.01,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,0.485714285714286,0.0789473684210526,0.485714285714286,0.0789473684210526,NA,NA,NA,NA,107,66,NA,NA,NA,"y",NA,"eas",NA,15.26,1.7,15.24,1.65,NA,NA,NA,NA,"cut",NA,NA,"suicidality",-1.02586903799515,-0.0714630613230325,"Tang, 2009_Intensive Interpersonal Psychotherapy for depressed adolescents with suicidal risk (IPT-A-IN)_school-based supportive intervention and psychoeducation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.69,-0.740000000000002,0,63,0.518412698412698,0.15968253968254,0.513015873015873,0.138095238095238,0.316984126984127,0.233015873015873,0.501269841269841,0.190634920634921,1.70045036051378,1.41132636383763,"Tang, 2009"
